




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	Crl02vSal02_NegFC_DEGs.txt (Sus scrofa)
Reference List:	FS27_BackgroundGenes.txt (Sus scrofa)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	FS27_BackgroundGenes.txt - REFLIST (12250)	Crl02vSal02_NegFC_DEGs.txt (152)	Crl02vSal02_NegFC_DEGs.txt (expected)	Crl02vSal02_NegFC_DEGs.txt (over/under)	Crl02vSal02_NegFC_DEGs.txt (fold Enrichment)	Crl02vSal02_NegFC_DEGs.txt (raw P-value)	Crl02vSal02_NegFC_DEGs.txt (FDR)
insulin catabolic process (GO:1901143)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
insulin metabolic process (GO:1901142)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
neurotransmitter loading into synaptic vesicle (GO:0098700)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle fusion to presynaptic active zone membrane (GO:0031629)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
telomeric loop formation (GO:0031627)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of fever generation (GO:0031622)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of fever generation (GO:0031620)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
carbohydrate derivative catabolic process (GO:1901136)	92	0	1.14	-	 < 0.01	6.32E-01	1.00E00
detection of endogenous stimulus (GO:0009726)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
response to lipoteichoic acid (GO:0070391)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
tRNA-guanine transglycosylation (GO:0101030)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
mitotic nuclear membrane organization (GO:0101024)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
Harderian gland development (GO:0070384)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA cytosine deamination (GO:0070383)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle membrane organization (GO:0048499)	11	0	.14	-	 < 0.01	1.00E00	1.00E00
maintenance of animal organ identity (GO:0048496)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
anterograde synaptic vesicle transport (GO:0048490)	13	0	.16	-	 < 0.01	1.00E00	1.00E00
regulation of ERK5 cascade (GO:0070376)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ERK5 cascade (GO:0070375)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of ERK1 and ERK2 cascade (GO:0070373)	41	0	.51	-	 < 0.01	1.00E00	1.00E00
ERK1 and ERK2 cascade (GO:0070371)	26	0	.32	-	 < 0.01	1.00E00	1.00E00
cellular heat acclimation (GO:0070370)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
activated T cell proliferation (GO:0050798)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of behavior (GO:0050795)	15	0	.19	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle transport (GO:0048489)	25	0	.31	-	 < 0.01	1.00E00	1.00E00
regulation of viral process (GO:0050792)	100	0	1.24	-	 < 0.01	6.37E-01	1.00E00
synaptic vesicle endocytosis (GO:0048488)	26	0	.32	-	 < 0.01	1.00E00	1.00E00
enteric nervous system development (GO:0048484)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of hepatocyte differentiation (GO:0070368)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of hepatocyte differentiation (GO:0070366)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hepatocyte differentiation (GO:0070365)	8	0	.10	-	 < 0.01	1.00E00	1.00E00
detoxification of mercury ion (GO:0050787)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
replication fork protection (GO:0048478)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
actin polymerization-dependent cell motility (GO:0070358)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of white fat cell proliferation (GO:0070350)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA destabilization (GO:0050779)	52	0	.65	-	 < 0.01	1.00E00	1.00E00
negative regulation of dendrite morphogenesis (GO:0050774)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of axonogenesis (GO:0050772)	33	0	.41	-	 < 0.01	1.00E00	1.00E00
negative regulation of axonogenesis (GO:0050771)	27	0	.34	-	 < 0.01	1.00E00	1.00E00
regulation of axonogenesis (GO:0050770)	68	0	.84	-	 < 0.01	1.00E00	1.00E00
PERK-mediated unfolded protein response (GO:0036499)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
IRE1-mediated unfolded protein response (GO:0036498)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
mucociliary clearance (GO:0120197)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of translational initiation by eIF2 alpha dephosphorylation (GO:0036496)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of translation initiation in response to endoplasmic reticulum stress (GO:0036494)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tight junction organization (GO:0120193)	24	0	.30	-	 < 0.01	1.00E00	1.00E00
positive regulation of translation in response to endoplasmic reticulum stress (GO:0036493)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of fat cell proliferation (GO:0070346)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
tight junction assembly (GO:0120192)	21	0	.26	-	 < 0.01	1.00E00	1.00E00
eiF2alpha phosphorylation in response to endoplasmic reticulum stress (GO:0036492)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of fat cell proliferation (GO:0070345)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of termination of RNA polymerase II transcription (GO:0120191)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of translation initiation in response to endoplasmic reticulum stress (GO:0036491)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of fat cell proliferation (GO:0070344)	7	0	.09	-	 < 0.01	1.00E00	1.00E00
regulation of translation in response to endoplasmic reticulum stress (GO:0036490)	8	0	.10	-	 < 0.01	1.00E00	1.00E00
brown fat cell proliferation (GO:0070342)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
fat cell proliferation (GO:0070341)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
detection of bacterial lipopeptide (GO:0070340)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of neurogenesis (GO:0050768)	52	0	.65	-	 < 0.01	1.00E00	1.00E00
positive regulation of phagocytosis (GO:0050766)	32	0	.40	-	 < 0.01	1.00E00	1.00E00
negative regulation of phagocytosis (GO:0050765)	11	0	.14	-	 < 0.01	1.00E00	1.00E00
regulation of phagocytosis (GO:0050764)	51	0	.63	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein localization to chromatin (GO:0120187)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein localization to chromatin (GO:0120186)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ventral trunk neural crest cell migration (GO:0036486)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
response to bacterial lipopeptide (GO:0070339)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
trunk neural crest cell migration (GO:0036484)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of focal adhesion disassembly (GO:0120183)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
neuron intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress (GO:0036483)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of focal adhesion disassembly (GO:0120182)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
membrane biogenesis (GO:0044091)	33	0	.41	-	 < 0.01	1.00E00	1.00E00
focal adhesion disassembly (GO:0120181)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
intrinsic apoptotic signaling pathway in response to hydrogen peroxide (GO:0036481)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of vacuole organization (GO:0044090)	15	0	.19	-	 < 0.01	1.00E00	1.00E00
cell-substrate junction disassembly (GO:0120180)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of vacuole organization (GO:0044088)	36	0	.45	-	 < 0.01	1.00E00	1.00E00
steroid hormone biosynthetic process (GO:0120178)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
triglyceride homeostasis (GO:0070328)	14	0	.17	-	 < 0.01	1.00E00	1.00E00
cell death in response to hydrogen peroxide (GO:0036474)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
thyroid hormone transport (GO:0070327)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
trans-synaptic signaling by BDNF (GO:0099191)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to glyoxal (GO:0036471)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of lipoprotein metabolic process (GO:0050748)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of lipoprotein metabolic process (GO:0050747)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of lipoprotein metabolic process (GO:0050746)	12	0	.15	-	 < 0.01	1.00E00	1.00E00
postsynaptic cytoskeleton organization (GO:0099188)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
postsynaptic intermediate filament cytoskeleton organization (GO:0099185)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle recycling via endosome (GO:0036466)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
trans-synaptic signaling by BDNF, modulating synaptic transmission (GO:0099183)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle recycling (GO:0036465)	31	0	.38	-	 < 0.01	1.00E00	1.00E00
positive regulation of G0 to G1 transition (GO:0070318)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of G0 to G1 transition (GO:0070317)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of G0 to G1 transition (GO:0070316)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
TRAIL-activated apoptotic signaling pathway (GO:0036462)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
G1 to G0 transition involved in cell differentiation (GO:0070315)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
G1 to G0 transition (GO:0070314)	8	0	.10	-	 < 0.01	1.00E00	1.00E00
negative regulation of peptidyl-tyrosine phosphorylation (GO:0050732)	39	0	.48	-	 < 0.01	1.00E00	1.00E00
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	89	0	1.10	-	 < 0.01	6.30E-01	1.00E00
regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	134	0	1.66	-	 < 0.01	4.16E-01	1.00E00
regulation of synaptic membrane adhesion (GO:0099179)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of retrograde trans-synaptic signaling by endocanabinoid (GO:0099178)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of postsynapse organization (GO:0099175)	28	0	.35	-	 < 0.01	1.00E00	1.00E00
regulation of presynapse organization (GO:0099174)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of respiratory system process (GO:0044065)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
lens fiber cell morphogenesis (GO:0070309)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
postsynapse organization (GO:0099173)	34	0	.42	-	 < 0.01	1.00E00	1.00E00
presynapse organization (GO:0099172)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of ERBB4 signaling pathway (GO:0120154)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lens fiber cell development (GO:0070307)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
presynaptic modulation of chemical synaptic transmission (GO:0099171)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of excretion (GO:0044062)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
postsynaptic modulation of chemical synaptic transmission (GO:0099170)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
response to cGMP (GO:0070305)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cap mRNA methylation (GO:0036451)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of endocrine process (GO:0044060)	16	0	.20	-	 < 0.01	1.00E00	1.00E00
negative regulation of appetite (GO:0032099)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of stress-activated protein kinase signaling cascade (GO:0070303)	25	0	.31	-	 < 0.01	1.00E00	1.00E00
regulation of appetite (GO:0032098)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of response to food (GO:0032097)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to hydrogen peroxide (GO:0070301)	37	0	.46	-	 < 0.01	1.00E00	1.00E00
negative regulation of response to food (GO:0032096)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of response to food (GO:0032095)	8	0	.10	-	 < 0.01	1.00E00	1.00E00
response to food (GO:0032094)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein binding (GO:0032092)	57	0	.71	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein binding (GO:0032091)	58	0	.72	-	 < 0.01	1.00E00	1.00E00
regulation of digestive system process (GO:0044058)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
myofibroblast differentiation (GO:0036446)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
synaptic signaling by nitric oxide (GO:0099163)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
calcium import into the mitochondrion (GO:0036444)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
translocation of peptides or proteins into host cell cytoplasm (GO:0044053)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of NF-kappaB transcription factor activity (GO:0032088)	56	0	.69	-	 < 0.01	1.00E00	1.00E00
regulation of modification of postsynaptic structure (GO:0099159)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of recycling endosome localization within postsynapse (GO:0099158)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cell-cell signaling via exosome (GO:0099156)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
maintenance of lens transparency (GO:0036438)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of neurotransmitter receptor transport, endosome to postsynaptic membrane (GO:0099152)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
glucan metabolic process (GO:0044042)	31	0	.38	-	 < 0.01	1.00E00	1.00E00
regulation of postsynaptic specialization assembly (GO:0099150)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of endodeoxyribonuclease activity (GO:0032079)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of endodeoxyribonuclease activity (GO:0032078)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of deoxyribonuclease activity (GO:0032077)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of deoxyribonuclease activity (GO:0032076)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of nuclease activity (GO:0032075)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of nuclease activity (GO:0032074)	7	0	.09	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein secretion (GO:0050709)	21	0	.26	-	 < 0.01	1.00E00	1.00E00
regulation of endodeoxyribonuclease activity (GO:0032071)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of deoxyribonuclease activity (GO:0032070)	7	0	.09	-	 < 0.01	1.00E00	1.00E00
regulation of postsynaptic neurotransmitter receptor internalization (GO:0099149)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
response to zinc ion starvation (GO:0120127)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
response to copper ion starvation (GO:0120126)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of DNA methylation (GO:0044030)	14	0	.17	-	 < 0.01	1.00E00	1.00E00
regulation of nuclease activity (GO:0032069)	16	0	.20	-	 < 0.01	1.00E00	1.00E00
hypomethylation of CpG island (GO:0044029)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA hypomethylation (GO:0044028)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
hypermethylation of CpG island (GO:0044027)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
T cell meandering migration (GO:0120117)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA hypermethylation (GO:0044026)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
tRNA stabilization (GO:0036416)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of tRNA stability (GO:0036415)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of translational initiation in response to stress (GO:0032058)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of translational initiation in response to stress (GO:0032057)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of translation in response to stress (GO:0032056)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of translation in response to stress (GO:0032055)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ciliary basal body organization (GO:0032053)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of monocyte aggregation (GO:1900625)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of monocyte aggregation (GO:1900623)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
acetate ester biosynthetic process (GO:1900620)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cardiolipin biosynthetic process (GO:0032049)	7	0	.09	-	 < 0.01	1.00E00	1.00E00
cardiolipin metabolic process (GO:0032048)	11	0	.14	-	 < 0.01	1.00E00	1.00E00
acetate ester metabolic process (GO:1900619)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
mitochondrial DNA catabolic process (GO:0032043)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
microtubule-based protein transport (GO:0099118)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
tRNA 5'-end processing (GO:0099116)	15	0	.19	-	 < 0.01	1.00E00	1.00E00
box H/ACA RNA 3'-end processing (GO:0000495)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
box C/D RNA 3'-end processing (GO:0000494)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
box H/ACA snoRNP assembly (GO:0000493)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
maturation of 5S rRNA (GO:0000481)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000480)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
response to magnesium ion (GO:0032026)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
response to cobalt ion (GO:0032025)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ISG15-protein conjugation (GO:0032020)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000472)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of ARF protein signal transduction (GO:0032014)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of ARF protein signal transduction (GO:0032012)	16	0	.20	-	 < 0.01	1.00E00	1.00E00
exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000467)	7	0	.09	-	 < 0.01	1.00E00	1.00E00
endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000461)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
7,8-dihydroneopterin 3'-triphosphate biosynthetic process (GO:0035998)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
detection of muscle stretch (GO:0035995)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to muscle stretch (GO:0035994)	11	0	.14	-	 < 0.01	1.00E00	1.00E00
deltoid tuberosity development (GO:0035993)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tendon formation (GO:0035992)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tendon cell differentiation (GO:0035990)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of fatty acid beta-oxidation (GO:0032000)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
exonucleolytic trimming involved in rRNA processing (GO:0000459)	7	0	.09	-	 < 0.01	1.00E00	1.00E00
enzyme-directed rRNA pseudouridine synthesis (GO:0000455)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
snoRNA guided rRNA pseudouridine synthesis (GO:0000454)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
enzyme-directed rRNA 2'-O-methylation (GO:0000453)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
rRNA 2'-O-methylation (GO:0000451)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
tendon development (GO:0035989)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
chondrocyte proliferation (GO:0035988)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
endodermal cell differentiation (GO:0035987)	23	0	.29	-	 < 0.01	1.00E00	1.00E00
cellular response to trichostatin A (GO:0035984)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to trichostatin A (GO:0035983)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hemoglobin metabolic process (GO:0020027)	7	0	.09	-	 < 0.01	1.00E00	1.00E00
endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)	7	0	.09	-	 < 0.01	1.00E00	1.00E00
positive regulation of branching morphogenesis of a nerve (GO:1905492)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
postsynaptic specialization assembly (GO:0098698)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
skin morphogenesis (GO:0043589)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
skin development (GO:0043588)	98	0	1.22	-	 < 0.01	6.36E-01	1.00E00
regulation of neurotransmitter receptor localization to postsynaptic specialization membrane (GO:0098696)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
tongue morphogenesis (GO:0043587)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
protein deglycosylation involved in glycoprotein catabolic process (GO:0035977)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of synaptic vesicle cycle (GO:0098693)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
nose development (GO:0043584)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
aggrephagy (GO:0035973)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
calcium-dependent self proteolysis (GO:1990092)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to nerve growth factor stimulus (GO:1990090)	8	0	.10	-	 < 0.01	1.00E00	1.00E00
carbon catabolite activation of transcription from RNA polymerase II promoter (GO:0000436)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription from RNA polymerase II promoter by galactose (GO:0000435)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription from RNA polymerase II promoter by glucose (GO:0000432)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
prosthetic group metabolic process (GO:0051189)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of transcription from RNA polymerase II promoter by galactose (GO:0000431)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to nerve growth factor (GO:1990089)	8	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of transcription from RNA polymerase II promoter by glucose (GO:0000430)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear matrix organization (GO:0043578)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of respiratory gaseous exchange (GO:0043576)	8	0	.10	-	 < 0.01	1.00E00	1.00E00
lens fiber cell apoptotic process (GO:1990086)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cardiolipin acyl-chain remodeling (GO:0035965)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
peroxisomal transport (GO:0043574)	20	0	.25	-	 < 0.01	1.00E00	1.00E00
COPI-coated vesicle budding (GO:0035964)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
cellular response to interleukin-13 (GO:0035963)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to interleukin-13 (GO:0035962)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
